event_id,session_id,persona,persona_label,event_index,timestamp_ms,x,y,target_section
1,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,0,1779535099163,1051.84,1125.91,pricing
2,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,1,1779535100154,824.79,2291.84,cta
3,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,2,1779535100324,693.86,1186.23,pricing
4,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,3,1779535101255,668.3,1356.06,pricing
5,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,4,1779535101941,343.79,1171.51,pricing
6,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,5,1779535102819,803.22,1316.71,pricing
7,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,6,1779535103744,1232.86,1183.01,pricing
8,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,7,1779535104318,956.11,1179.07,pricing
9,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,8,1779535105222,608.4,272.18,hero
10,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,9,1779535106301,1022.97,1031.3,pricing
11,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,10,1779535106766,873.28,1799.59,testimonials
12,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,11,1779535107890,827.34,612.62,features
13,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,12,1779535108891,998.72,1123.83,pricing
14,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,13,1779535109660,718.31,2284.33,cta
15,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,14,1779535110463,1276.7,538.84,features
16,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,15,1779535111665,1194.01,1204.2,pricing
17,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,16,1779535112767,938.17,582.86,features
18,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,17,1779535114023,949.68,1338.79,pricing
19,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,18,1779535114504,942.47,1205.51,pricing
20,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,19,1779535115446,896.73,1366.34,pricing
21,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,20,1779535116240,1174.19,1161.92,pricing
22,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,21,1779535117175,1223.64,1202.36,pricing
23,5e37abcf-b608-4832-a6d2-2582b398b8da,pricing_seeker,The Pricing Seeker,22,1779535117944,1010.56,2313.96,cta
