event_id,session_id,persona,persona_label,event_index,timestamp_ms,x,y,target_section
1,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,0,1779535271599,1051.84,1125.91,pricing
2,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,1,1779535272590,824.79,2291.84,cta
3,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,2,1779535272760,693.86,1186.23,pricing
4,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,3,1779535273691,668.3,1356.06,pricing
5,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,4,1779535274377,343.79,1171.51,pricing
6,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,5,1779535275255,803.22,1316.71,pricing
7,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,6,1779535276180,1232.86,1183.01,pricing
8,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,7,1779535276754,956.11,1179.07,pricing
9,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,8,1779535277658,608.4,272.18,hero
10,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,9,1779535278737,1022.97,1031.3,pricing
11,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,10,1779535279202,873.28,1799.59,testimonials
12,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,11,1779535280326,827.34,612.62,features
13,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,12,1779535281327,998.72,1123.83,pricing
14,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,13,1779535282096,718.31,2284.33,cta
15,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,14,1779535282899,1276.7,538.84,features
16,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,15,1779535284101,1194.01,1204.2,pricing
17,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,16,1779535285203,938.17,582.86,features
18,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,17,1779535286459,949.68,1338.79,pricing
19,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,18,1779535286940,942.47,1205.51,pricing
20,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,19,1779535287882,896.73,1366.34,pricing
21,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,20,1779535288676,1174.19,1161.92,pricing
22,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,21,1779535289611,1223.64,1202.36,pricing
23,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,22,1779535290380,1010.56,2313.96,cta
24,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,23,1779535290849,847.07,1325.12,pricing
25,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,24,1779535291596,1059.51,2067.5,cta
26,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,25,1779535292551,913.55,1217.73,pricing
27,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,26,1779535293396,1364.34,1144.75,pricing
28,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,27,1779535294886,977.35,1063.24,pricing
29,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,28,1779535295586,885.4,1303.32,pricing
30,7996f5fc-17f9-4efc-81db-3b5fff91434e,pricing_seeker,The Pricing Seeker,29,1779535296434,1057.87,1772.07,testimonials
31,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,0,1779535704579,1176.56,1377.54,pricing
32,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,1,1779535705791,1364.7,1148.51,pricing
33,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,2,1779535706512,982.15,1151.72,pricing
34,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,3,1779535707231,988.7,1353.02,pricing
35,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,4,1779535708249,854.72,1251.02,pricing
36,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,5,1779535709501,695.21,1113.53,pricing
37,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,6,1779535710258,704.97,1775.06,testimonials
38,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,7,1779535711447,1025.51,1312.06,pricing
39,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,8,1779535712364,1013.17,529.54,features
40,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,9,1779535712988,1334.23,1337.25,pricing
41,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,10,1779535713661,1059.78,703.45,features
42,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,11,1779535714731,1025.17,1275.92,pricing
43,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,12,1779535716066,754.27,1282.71,pricing
44,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,13,1779535716667,1171.54,1302.88,pricing
45,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,14,1779535717767,723.64,1379.3,pricing
46,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,15,1779535718654,710.12,1296.07,pricing
47,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,16,1779535719483,725.05,1150.73,pricing
48,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,17,1779535720472,1308.3,711.93,features
49,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,18,1779535721484,1743.41,1220.46,pricing
50,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,19,1779535722298,972.09,1154.34,pricing
51,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,20,1779535723271,1165.63,1225.06,pricing
52,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,21,1779535723727,716.12,2477.9,footer
53,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,22,1779535724761,812.27,593.32,features
54,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,23,1779535725650,705.45,2235.66,cta
55,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,24,1779535726726,974.79,1368.01,pricing
56,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,25,1779535727332,563.23,2295.25,cta
57,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,26,1779535728188,1034.08,2248.63,cta
58,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,27,1779535729333,1124.42,1347.31,pricing
59,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,28,1779535729883,1010.74,2244.22,cta
60,f0ee1f75-13b0-4502-bd67-296055bfa239,pricing_seeker,The Pricing Seeker,29,1779535730754,820.22,1082.51,pricing
61,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,0,1779534418192,1062.9,1050.4,pricing
62,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,1,1779534418954,702.78,216.06,hero
63,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,2,1779534419614,1155.72,1170.17,pricing
64,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,3,1779534420943,1648.04,1274.16,pricing
65,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,4,1779534421796,1198.68,2313.44,cta
66,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,5,1779534422867,769.41,1299.34,pricing
67,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,6,1779534423630,1438.45,1163.86,pricing
68,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,7,1779534424585,1468.45,1214.53,pricing
69,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,8,1779534425090,1435.59,1292.11,pricing
70,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,9,1779534425756,1324.87,1455.76,pricing
71,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,10,1779534426600,1499.14,1223.51,pricing
72,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,11,1779534427125,887.26,1145.92,pricing
73,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,12,1779534427941,1341.1,1422.21,pricing
74,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,13,1779534428793,1294.99,1198.03,pricing
75,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,14,1779534429811,977.54,1227.41,pricing
76,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,15,1779534430339,1416.77,1264.07,pricing
77,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,16,1779534431303,980.44,1326.65,pricing
78,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,17,1779534431991,1040.93,669.84,features
79,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,18,1779534432679,826.22,1348.76,pricing
80,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,19,1779534433608,1219.08,2208.24,cta
81,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,20,1779534434601,1212.51,2191.46,cta
82,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,21,1779534435481,953.98,2186.54,cta
83,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,22,1779534436473,789.63,306.59,hero
84,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,23,1779534437208,1407.22,661.07,features
85,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,24,1779534438235,966.05,2309.9,cta
86,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,25,1779534438925,881.94,1215.37,pricing
87,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,26,1779534439562,1131.41,1818.73,testimonials
88,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,27,1779534440100,1307.02,1483.51,pricing
89,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,28,1779534440946,1140.96,2268.2,cta
90,e982049e-5fd8-4ace-9711-59d87c62271a,pricing_seeker,The Pricing Seeker,29,1779534442256,358.07,1149.87,pricing
91,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,0,1779536899077,867.44,602.73,features
92,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,1,1779536899979,835.21,1187.09,pricing
93,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,2,1779536901129,1211.29,2496.1,footer
94,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,3,1779536901923,753.09,1767.04,testimonials
95,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,4,1779536902694,1412.17,2105.33,cta
96,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,5,1779536903328,1052.94,1249.49,pricing
97,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,6,1779536903802,985.6,2260.15,cta
98,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,7,1779536904655,1024.54,600.99,features
99,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,8,1779536906096,975.65,1302.86,pricing
100,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,9,1779536906746,1580.12,2254.86,cta
101,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,10,1779536908165,1012.8,2505.12,footer
102,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,11,1779536908662,914.58,1159.79,pricing
103,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,12,1779536909600,1003.31,1165.28,pricing
104,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,13,1779536910702,1124.55,1459.38,pricing
105,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,14,1779536911858,1487.46,1102.66,pricing
106,4e799881-4e9b-439d-a1fd-d1da1eac131c,pricing_seeker,The Pricing Seeker,15,1779536912422,1045.1,174.53,hero
